ID,valuation_rate
101410,114.91
101410,114.91
108000,954.64
108000,954.64
14073,85.71
22851,514.29
64000,565.71
ALV03,3.64
AN20,18.9
AN40,24.57
AN500,81.3
AN80,24.57
ARI13,53.57
ARI13,53.57
AFC120,6.03
AS15,6.03
ASC08,80.51
ASC09,114.44
ASC13,108.22
ASC17,148.13
ASC19,80.51
ASC20,114.44
ASC23,108.22
ASC24,148.13
ATC17,56.92
BAB14,60.26
BAB15,56.05
BAB36,21.1
BAB37,21.1
BAB40,21.1
BABNR01,64.09
BH135,67.86
BH135,67.86
BIO1234,67.86
BIO1234,67.86
C50050,69.28
CAG01,8.63
CAL38,8.2
CALP01,12.06
CFD500,66.33
CI12570,427.59
CIM05,454.95
CIM06,301.11
CN250,712.5
CN500,48.52
CNOD,93.3
DEP05,100.31
DUO03,8.92
EFF01,21.55
EFF6,64.13
EO10,18.66
EO5,12.08
EV500,4.93
EVAP01,257.14
EVAP02,491.07
EX50,60.48
F22-141,18.24
F22-141,18.24
f24-077,84.02
f24-077,84.02
FIO995,4.93
FIT01,11.78
FLU31,168.48
FURC01,31.07
FURC02,21.67
GLAR01,764.61
GN3060,5.04
GN3060,5.04
HER04,111.97
I.P01,11.7
IMA01,5.68
IMA01,5.68
IPI01,37.24
IPI06,36.47
ISO32,24.36
IX01,51.43
KFAD2,40.95
KFK2,40.95
KIDZ3,375.79
KP6,40.95
L2500,19.18
L30/70,783.09
LN10,678
LN530,53.3
LN530,53.3
LOLR01,8.85
LOS100,17.34
LOS50,13.4
LUP1,68.75
LUPB1,46.63
M22-086,11.86
M22-181,37.13
M23-041,20.71
M23-041,20.71
M23-048,33
M23-049,35
M23-050,22.64
m24-003,66.52
m24-004,19.5
m24-005,19
m24-211,35.77
MA5,483.7
MASO01,56.66
MASO01,56.66
MNEB35,32.38
MOSG2,10.71
MOSV01,14.22
MX301,13.53
MX308,14.3
MX308,14.3
MX308,14.3
NAT05,304.84
NAT14,161.71
NAT14,161.71
NATM01,84.38
NATM01,84.38
NATRO01,1755.43
NATRO01,1755.43
NF23-131,127.23
nf24-011,33.75
OMA01,26.01
OMA01,26.01
ONI01,12.77
OPT13,23.58
P30,21.49
PAUFR01,102.86
PAUFR01,102.86
PELD04,425.21
PELD04,425.21
PEP20,30.83
PEP20,30.83
PF600100,5.5
PKID01,80.14
PLA11,25.89
PLA11,25.89
PLE300120,113.92
PLEM01,103.72
PLEM02,137.5
PP30,60
PREGM01,38.77
PROD01,793.63
PROD01,793.63
PRZF01,40.18
QUA13,11.12
RENO01,25.41
RM51,11.84
ROBS01,227.68
ROBS02,113.84
RUS20,30.49
SELIC08,10.97
SELIC08,10.97
SOR01,12.78
TAMI01,32.14
TDL02,20.62
TDL02,20.62
TDLPL01,22.49
TDLPL01,22.49
TRI56,48.71
TRI66,15.89
TRXN01,22.59
VAS34,36.16
VAS78,18.72
VAS78,18.72
VAS79,11.36
VAS79,11.36
VELS01,24.68
VIC25,103.16
